lind	locus
1547	L4987
1548	L4992
1549	L4993
1550	L4995
1551	L4998
1552	L5007
1553	L5010
1554	L5012
1555	L5016
1556	L5022
1557	L5033
1558	L5035
1559	L5037
1560	L5047
1561	L5052
1562	L5057
1563	L5059
1564	L5065
1565	L5072
1566	L5075
1567	L5080
1568	L5084
1569	L5089
1570	L5090
1571	L5094
1572	L5096
1573	L5097
1574	L5098
1575	L5100
1576	L5112
1577	L5113
1578	L5115
1579	L5118
1580	L5119
1581	L5120
1582	L5124
1583	L5126
1584	L5130
1585	L5132
1586	L5134
1587	L5137
1588	L5138
1589	L5144
1590	L5151
1591	L5155
1592	L5157
1593	L5166
1594	L5167
1595	L5168
1596	L5169
1597	L5170
1598	L5172
1599	L5174
1600	L5176
1601	L5177
1602	L5180
1603	L5184
1604	L5185
1605	L5188
1606	L5192
1607	L5194
1608	L5195
1609	L5197
1610	L5199
1611	L5202
1612	L5211
1613	L5217
1614	L5218
1615	L5220
1616	L5222
1617	L5225
1618	L5226
1619	L5227
1620	L5228
1621	L5231
1622	L5232
1623	L5240
1624	L5244
1625	L5249
1626	L5253
1627	L5255
1628	L5257
1629	L5258
1630	L5259
1631	L5260
1632	L5263
1633	L5264
1634	L5266
1635	L5267
1636	L5272
1637	L5274
1638	L5275
1639	L5280
1640	L5281
1641	L5290
1642	L5296
1643	L5300
1644	L5302
1645	L5304
1646	L5305
1647	L5309
1648	L5320
1649	L5326
1650	L5330
1651	L5332
1652	L5334
1653	L5340
1654	L5341
1655	L5344
1656	L5346
1657	L5347
1658	L5348
1659	L5349
1660	L5357
1661	L5358
1662	L5359
1663	L5362
1664	L5363
1665	L5364
1666	L5367
1667	L5371
1668	L5373
1669	L5374
1670	L5382
1671	L5383
1672	L5385
1673	L5387
1674	L5394
1675	L5395
1676	L5403
1677	L5404
1678	L5411
1679	L5415
1680	L5419
1681	L5427
1682	L5432
1683	L5433
1684	L5434
1685	L5437
1686	L5440
1687	L5441
1688	L5442
1689	L5447
1690	L5448
1691	L5453
1692	L5454
1693	L5455
1694	L5463
1695	L5472
1696	L5475
1697	L5476
1698	L5483
1699	L5484
1700	L5487
1701	L5489
1702	L5492
1703	L5496
1704	L5497
1705	L5498
1706	L5502
1707	L5503
1708	L5505
1709	L5507
1710	L5511
1711	L5512
1712	L5513
1713	L5515
1714	L5518
1715	L5520
1716	L5525
1717	L5528
1718	L5538
1719	L5543
1720	L5547
1721	L5549
1722	L5551
1723	L5552
1724	L5553
1725	L5558
1726	L5562
1727	L5565
1728	L5567
1729	L5570
1730	L5572
1731	L5576
1732	L5577
1733	L5578
1734	L5580
1735	L5586
1736	L5587
1737	L5589
1738	L5597
1739	L5598
