pop1	pop2	fst	gst	Gst	GGst	D	lat1	lon1	lat2	lon2	geog_dist	lat_dist	block1	block2	same_block
X05b	X06u	0.9264	0.8587	0.9519	0.9741	0.4421	-23.965	133.153333	-23.956944	133.245556	9428.9938585828	0.00805599999999984	X05	X06	0
X05b	X07b	0.8941	0.7913	0.9335	0.9629	0.4533	-23.965	133.153333	-23.907778	133.330833	19149.0196420717	0.0572219999999994	X05	X07	0
X05b	X07u	0.9084	0.8246	0.937	0.9654	0.4308	-23.965	133.153333	-23.907778	133.330833	19149.0196420717	0.0572219999999994	X05	X07	0
X05b	X08b	0.9059	0.8159	0.9423	0.9682	0.4655	-23.965	133.153333	-23.846111	133.454167	33342.931902255	0.118888999999999	X05	X08	0
X05b	X08u	0.7037	0.5662	0.774	0.8557	0.329	-23.965	133.153333	-23.845833	133.453611	33303.1467992084	0.119167000000001	X05	X08	0
X05b	X10b	0.9354	0.8711	0.9568	0.9769	0.4492	-23.965	133.153333	-23.768056	133.626111	52865.3263761712	0.196943999999998	X05	X10	0
X05b	X10u	0.6703	0.5265	0.7393	0.8292	0.3115	-23.965	133.153333	-23.768333	133.626389	52878.4293936569	0.196667000000001	X05	X10	0
X05b	X11b1	0.1601	0.1133	0.1457	0.2327	0.0025	-23.965	133.153333	-23.916858	132.735055	42912.4727630744	0.0481419999999986	X05	X11	0
X05b	X11b2	0.3584	0.2374	0.3403	0.4669	0.037	-23.965	133.153333	-23.916858	132.735055	42912.4727630744	0.0481419999999986	X05	X11	0
X05b	X11b3	0.4906	0.3241	0.4339	0.5724	0.0367	-23.965	133.153333	-23.916858	132.735055	42912.4727630744	0.0481419999999986	X05	X11	0
X05u	X06b	-0.0066	0.0018	0.0021	0.0039	0	-23.966389	133.153333	-23.9575	133.245833	9466.14157407024	0.00888899999999992	X05	X06	0
X05u	X06u	0.9126	0.8422	0.9449	0.9701	0.4331	-23.966389	133.153333	-23.956944	133.245556	9444.74376298466	0.00944499999999948	X05	X06	0
X05u	X07b	0.8753	0.7782	0.9286	0.9598	0.446	-23.966389	133.153333	-23.907778	133.330833	19200.394688237	0.0586109999999991	X05	X07	0
X05u	X07u	0.8948	0.8078	0.9292	0.9608	0.422	-23.966389	133.153333	-23.907778	133.330833	19200.394688237	0.0586109999999991	X05	X07	0
X05u	X08b	0.8926	0.8029	0.9378	0.9655	0.4605	-23.966389	133.153333	-23.846111	133.454167	33403.8360249944	0.120277999999999	X05	X08	0
X05u	X08u	0.6585	0.5449	0.7581	0.8434	0.3181	-23.966389	133.153333	-23.845833	133.453611	33364.2660767216	0.120556000000001	X05	X08	0
X05u	X10b	0.926	0.8555	0.9503	0.9732	0.4407	-23.966389	133.153333	-23.768056	133.626111	52928.7547748242	0.198332999999998	X05	X10	0
X05u	X10u	0.6169	0.5049	0.7223	0.8154	0.3004	-23.966389	133.153333	-23.768333	133.626389	52941.7526683971	0.198056000000001	X05	X10	0
X05u	X11b1	0.0605	0.0934	0.122	0.197	0.0016	-23.966389	133.153333	-23.916858	132.735055	42931.6336918629	0.0495309999999982	X05	X11	0
X05u	X11b2	0.2684	0.2139	0.3122	0.4334	0.0308	-23.966389	133.153333	-23.916858	132.735055	42931.6336918629	0.0495309999999982	X05	X11	0
X05u	X11b3	0.4031	0.298	0.4059	0.5423	0.0319	-23.966389	133.153333	-23.916858	132.735055	42931.6336918629	0.0495309999999982	X05	X11	0
X06b	X06u	0.9076	0.8315	0.9387	0.9665	0.4193	-23.9575	133.245833	-23.956944	133.245556	67.7287247029565	0.000555999999999557	X06	X06	1
X06b	X07b	0.8767	0.7733	0.928	0.9594	0.4539	-23.9575	133.245833	-23.907778	133.330833	10257.1490500708	0.0497219999999992	X06	X07	0
X06b	X07u	0.8927	0.7985	0.9229	0.9571	0.4087	-23.9575	133.245833	-23.907778	133.330833	10257.1490500708	0.0497219999999992	X06	X07	0
