lind	locus
1960	L7853
1961	L7858
1962	L7860
1963	L7863
1964	L7872
1965	L7874
1966	L7876
1967	L7878
1968	L7882
1969	L7888
1970	L7892
1971	L7894
1972	L7895
1973	L7903
1974	L7924
1975	L7929
1976	L7933
1977	L7934
1978	L7935
1979	L7941
1980	L7942
1981	L7945
1982	L7947
1983	L7951
1984	L7952
1985	L7956
1986	L7966
1987	L7973
1988	L7980
1989	L7988
1990	L7992
1991	L7994
1992	L7998
1993	L7999
1994	L8000
1995	L8009
1996	L8017
1997	L8021
1998	L8026
1999	L8030
2000	L8033
2001	L8035
2002	L8037
2003	L8038
2004	L8044
2005	L8045
2006	L8046
2007	L8055
2008	L8071
2009	L8073
2010	L8078
2011	L8086
2012	L8091
2013	L8093
2014	L8097
2015	L8100
2016	L8113
2017	L8117
2018	L8126
2019	L8130
2020	L8131
2021	L8134
2022	L8136
2023	L8144
2024	L8147
2025	L8151
2026	L8154
2027	L8158
2028	L8172
2029	L8178
2030	L8179
2031	L8180
2032	L8188
2033	L8189
2034	L8192
2035	L8195
2036	L8200
2037	L8203
2038	L8215
2039	L8218
2040	L8224
2041	L8225
2042	L8229
2043	L8230
2044	L8250
2045	L8256
2046	L8260
2047	L8262
2048	L8264
2049	L8266
2050	L8269
2051	L8274
2052	L8278
2053	L8281
2054	L8287
2055	L8314
2056	L8318
2057	L8319
2058	L8333
2059	L8335
2060	L8355
2061	L8361
2062	L8372
2063	L8373
2064	L8375
2065	L8377
2066	L8381
2067	L8384
2068	L8394
2069	L8395
2070	L8397
2071	L8400
2072	L8404
2073	L8408
2074	L8410
2075	L8411
2076	L8417
2077	L8421
2078	L8431
2079	L8432
2080	L8435
2081	L8436
2082	L8438
2083	L8444
2084	L8446
2085	L8450
2086	L8453
2087	L8456
2088	L8463
2089	L8464
2090	L8467
2091	L8471
2092	L8474
2093	L8478
2094	L8480
2095	L8483
2096	L8484
2097	L8487
2098	L8489
2099	L8491
2100	L8497
2101	L8498
2102	L8503
2103	L8508
2104	L8511
2105	L8512
2106	L8521
2107	L8527
2108	L8541
2109	L8550
2110	L8558
2111	L8560
2112	L8565
2113	L8574
2114	L8576
2115	L8577
2116	L8582
2117	L8591
2118	L8592
2119	L8593
2120	L8596
2121	L8598
2122	L8601
2123	L8602
2124	L8605
2125	L8607
2126	L8610
2127	L8617
2128	L8620
2129	L8627
2130	L8628
2131	L8640
2132	L8642
2133	L8643
2134	L8645
2135	L8647
2136	L8650
2137	L8658
2138	L8660
2139	L8662
2140	L8665
2141	L8670
2142	L8672
2143	L8673
2144	L8675
2145	L8676
2146	L8677
2147	L8681
2148	L8685
2149	L8686
2150	L8687
2151	L8688
2152	L8689
2153	L8692
2154	L8693
2155	L8694
2156	L8695
2157	L8697
2158	L8699
2159	L8701
2160	L8709
2161	L8711
2162	L8717
2163	L8718
